Event.Id,Event.Date,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Injuries,Estimated.Total.Passengers,Serious.Fatal.Injury.Rate,Aircraft.Destroyed,Unique_Aircraft_Type
20200619X60815,2018-07-23,United States,Non-Fatal,none,AIRBUS,A319,No,2.0,turbo fan,,0,1,1,132,vmc,2,134,0.007462686567164179,0,AIRBUS A319
20180724X80900,2018-07-24,United States,Fatal,substantial,PIPER,PA32R,No,1.0,reciprocating,personal,2,0,0,0,imc,2,2,1.0,0,PIPER PA32R
20180725X83254,2018-07-25,United States,Non-Fatal,substantial,PIPER,PA32,No,1.0,reciprocating,personal,0,2,1,0,vmc,3,3,0.6666666666666666,0,PIPER PA32
20180726X52812,2018-07-25,Panama,Fatal,destroyed,BEECH,58,No,,,,4,0,0,0,,4,4,1.0,1,BEECH 58
20180726X85310,2018-07-25,United States,Non-Fatal,substantial,CIRRUS,SR20,No,1.0,reciprocating,instructional,0,0,0,3,vmc,0,3,0.0,0,CIRRUS SR20
20180731X72036,2018-07-25,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 172
20180801X32247,2018-07-25,United States,Non-Fatal,substantial,PIPER,PA46,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA46
20180803X91633,2018-07-25,Mexico,Fatal,substantial,AIR TRACTOR,AT301,No,1.0,,aerial application,1,0,0,0,,1,1,1.0,0,AIR TRACTOR AT301
20180726X33528,2018-07-26,United States,Non-Fatal,substantial,AERO COMMANDER,560,No,2.0,reciprocating,ferry,0,0,0,1,vmc,0,1,0.0,0,AERO COMMANDER 560
20180726X70057,2018-07-26,United States,Non-Fatal,substantial,AIR TRACTOR,AT502,No,1.0,turbo shaft,aerial application,0,0,0,1,vmc,0,1,0.0,0,AIR TRACTOR AT502
20180726X82617,2018-07-26,United States,Non-Fatal,substantial,CESSNA,140,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 140
20180726X90912,2018-07-26,United States,Fatal,none,CESSNA,182,No,1.0,reciprocating,personal,1,0,0,0,vmc,1,1,1.0,0,CESSNA 182
20180726X93340,2018-07-26,United States,Non-Fatal,substantial,BEECH,C90,No,2.0,turbo prop,personal,0,0,0,1,vmc,0,1,0.0,0,BEECH C90
20180726X93434,2018-07-26,United States,Non-Fatal,substantial,LUSCOMBE,8,No,1.0,reciprocating,personal,0,1,0,0,vmc,1,1,1.0,0,LUSCOMBE 8
20180726X93613,2018-07-26,United States,Non-Fatal,substantial,CESSNA,150,No,1.0,reciprocating,instructional,0,0,0,1,vmc,0,1,0.0,0,CESSNA 150
20180727X90654,2018-07-26,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,instructional,0,0,0,1,vmc,0,1,0.0,0,CESSNA 172
20180816X15305,2018-07-26,Brazil,Fatal,destroyed,PIPER,PA34,No,2.0,reciprocating,personal,3,0,0,0,,3,3,1.0,1,PIPER PA34
20180726X13759,2018-07-27,United States,Fatal,destroyed,PIPER,PA24,No,1.0,reciprocating,personal,2,0,0,0,vmc,2,2,1.0,1,PIPER PA24
20180727X04921,2018-07-27,United States,Non-Fatal,substantial,BOEING,767,No,2.0,turbo fan,,0,0,0,250,vmc,0,250,0.0,0,BOEING 767
20180727X63057,2018-07-27,United States,Non-Fatal,substantial,CESSNA,152,No,1.0,reciprocating,instructional,0,0,0,1,vmc,0,1,0.0,0,CESSNA 152
20180727X64828,2018-07-27,United States,Non-Fatal,substantial,BELLANCA,8GCBC,No,,reciprocating,aerial observation,0,0,0,2,vmc,0,2,0.0,0,BELLANCA 8GCBC
20180817X85330,2018-07-27,Brazil,Fatal,destroyed,CESSNA,210,No,1.0,reciprocating,,3,0,2,0,,5,5,0.6,1,CESSNA 210
20190809X00635,2018-07-27,Dominican Republic,Non-Fatal,substantial,AERO COMMANDER,500,No,,,,0,0,0,7,vmc,0,7,0.0,0,AERO COMMANDER 500
20180728X51103,2018-07-28,United States,Non-Fatal,substantial,CESSNA,177,No,1.0,reciprocating,personal,0,2,0,0,vmc,2,2,1.0,0,CESSNA 177
